date,action,symbol,shares,price,amount
2024-06-27,SELL,HPG,6846700,21.440000534057617,146573061.7790475
2024-06-27,BUY,TCB,2766400,22.3799991607666,62004897.72286224
2024-06-27,BUY,PLX,1549300,39.959999084472656,62002891.62144585
2024-06-28,SELL,TCB,2766400,22.280000686645508,61542940.80868683
2024-06-28,SELL,PLX,1549300,39.56999969482422,61213841.82640038
2024-06-28,BUY,SSB,12197000,15.199999809265137,185672489.27011728
2024-06-28,BUY,MBB,12812300,14.470000267028809,185672075.39788508
2024-06-28,BUY,HPG,8811500,21.040000915527344,185672059.01926997
2024-07-01,SELL,MBB,12812300,14.630000114440918,187162784.54055202
2024-07-01,SELL,SSB,12197000,15.239999771118164,185603453.79251575
2024-07-01,SELL,SAB,1809600,51.29999923706055,92693229.9014557
2024-07-01,SELL,HPG,8811500,21.06999969482422,185379814.8574772
2024-07-01,BUY,TCB,3349200,21.610000610351562,72484778.36525574
2024-07-01,BUY,MWG,1115700,64.87000274658203,72484025.25745812
2024-07-01,BUY,LPB,3444900,21.010000228881836,72485915.81315775
2024-07-02,SELL,TCB,3349200,21.850000381469727,73070251.24570198
2024-07-02,SELL,FPT,47600,107.02999877929688,5086985.999981689
2024-07-02,SELL,MWG,1115700,65.05999755859375,72478558.11720887
2024-07-02,SELL,LPB,3444900,22.290000915527344,76671643.9176693
2024-07-02,BUY,GVR,1153500,33.79999923706055,39046781.568629265
2024-07-02,BUY,SAB,756300,51.54999923706055,39045745.31962338
2024-07-02,BUY,VPB,2150600,18.1299991607666,39048861.759437375
2024-07-02,BUY,BSR,2920600,13.350000381469727,39048496.130791664
2024-07-03,SELL,VPB,2150600,18.18000030517578,39039261.79332657
2024-07-03,SELL,BSR,2920600,13.289999961853027,38756551.72775507
2024-07-03,BUY,PLX,5671000,40.4900016784668,229963227.71786308
2024-07-03,BUY,HPG,10745000,21.3700008392334,229965090.0060892
2024-07-04,SELL,PLX,5671000,42.47999954223633,240542721.28791618
2024-07-04,SELL,HPG,10745000,21.329999923706055,228847062.90645123
2024-07-04,BUY,MSN,1981700,76.80000305175781,152422857.89674
2024-07-04,BUY,VPB,8353200,18.219999313354492,152423591.2117092
2024-07-05,SELL,GVR,1153500,34.290000915527344,39494185.7819767
2024-07-05,SELL,MSN,1981700,76.69999694824219,151768389.37640306
2024-07-05,SELL,SAB,756300,50.5099983215332,38143410.6629797
2024-07-05,BUY,GAS,852700,67.38999938964844,57549647.65827256
2024-07-05,BUY,LPB,2369900,24.25,57556280.1125
2024-07-05,BUY,SHB,6737400,8.529999732971191,57556225.23122149
2024-07-05,BUY,HPG,2698100,21.299999237060547,57555732.233425334
2024-07-08,SELL,GAS,852700,67.4800033569336,57453888.564163595
2024-07-08,SELL,LPB,2369900,24.280000686645508,57454861.86684027
2024-07-08,BUY,FPT,2007500,116.7300033569336,234686984.96165276
2024-07-08,BUY,PLX,5208800,44.9900016784668,234695436.62391204
2024-07-09,SELL,VPB,8353200,18.559999465942383,154802834.45760155
2024-07-09,SELL,PLX,5208800,44.5099983215332,231495913.73831636
2024-07-09,BUY,VNM,1915300,59.79999923706055,114706740.94655019
2024-07-10,SELL,HPG,2698100,21.520000457763672,57976018.56523953
2024-07-10,SELL,SHB,6737400,8.600000381469727,57854730.106258966
2024-07-10,SELL,VNM,1915300,59.18000030517578,113177433.40262643
2024-07-10,BUY,GAS,851500,67.30999755859375,57400434.61552429
2024-07-10,BUY,LPB,2440100,23.489999771118164,57403925.3641677
2024-07-10,BUY,STB,1920200,29.850000381469727,57403947.68859692
2024-07-10,BUY,ACB,2829200,20.260000228881836,57405572.03652383
2024-07-11,SELL,FPT,2007500,111.20999908447266,222919192.05233574
2024-07-11,SELL,STB,1920200,29.850000381469727,57231993.776399426
2024-07-11,BUY,TPB,14533800,13.270000457763672,193152827.95202523
2024-07-11,BUY,VPB,10585300,18.219999313354492,193153454.9697488
2024-07-12,SELL,TPB,14533800,13.3100004196167,193154716.77247727
2024-07-12,SELL,VPB,10585300,18.18000030517578,192152096.09453166
2024-07-12,SELL,ACB,2829200,20.049999237060547,56640369.65472946
2024-07-12,BUY,PLX,1701300,44.79999923706055,76332566.06006412
2024-07-12,BUY,VCB,1310300,58.16999816894531,76334478.82367021
2024-07-12,BUY,SHB,8863000,8.600000381469727,76336136.08603765
2024-07-15,SELL,PLX,1701300,46.439998626708984,78889857.10912457
2024-07-15,SELL,LPB,2440100,23.639999389648438,57597436.56691513
2024-07-15,SELL,SHB,8863000,8.680000305175781,76815446.44071579
2024-07-15,BUY,VPB,5186000,17.979999542236328,93384144.04247665
2024-07-15,BUY,VNM,1589800,58.650001525878906,93381635.08448106
2024-07-16,SELL,VPB,5186000,18.18000030517578,94140059.36026764
2024-07-16,BUY,MWG,4229600,63.189998626708984,267669320.81881562
2024-07-16,BUY,LPB,11229700,23.799999237060547,267667751.70956746
2024-07-17,SELL,GAS,851500,66.87999725341797,56862895.18479347
2024-07-17,SELL,MWG,4229600,62.599998474121094,264375794.1158234
2024-07-17,SELL,LPB,11229700,24.100000381469727,270229820.62236494
2024-07-17,SELL,VNM,1589800,58.209999084472656,92403443.1596779
2024-07-17,BUY,TPB,4024600,13.229999542236328,53325324.34192085
2024-07-17,BUY,PLX,1222900,43.540000915527344,53324934.720277786
2024-07-17,BUY,ACB,2601100,20.469999313354492,53324381.98678733
2024-07-18,SELL,TPB,4024600,13.34000015258789,53607632.36718407
2024-07-18,SELL,ACB,2601100,20.719999313354492,53813948.028645426
2024-07-18,BUY,GAS,732900,66.97000122070312,49155937.36549531
2024-07-18,BUY,FPT,458900,106.94000244140625,49148379.27104188
2024-07-19,SELL,GAS,732900,66.70999908447266,48818420.691516496
2024-07-19,SELL,VCB,1310300,58.11000061035156,76027321.49904405
2024-07-19,BUY,GVR,7239700,33.70000076293945,244343862.36673793
2024-07-19,BUY,LPB,10061000,24.25,244345218.875
2024-07-19,BUY,VPB,13569500,17.979999542236328,244345573.19405842
2024-07-22,SELL,FPT,458900,103.7699966430664,47548621.38231392
2024-07-22,SELL,PLX,1222900,44.849998474121094,54764792.539301686
2024-07-22,BUY,VCB,920800,58.2400016784668,53707834.63585053
2024-07-22,BUY,SHB,6317000,8.489999771118164,53711775.54698467
2024-07-23,SELL_REGIME,LPB,10061000,23.90999984741211,240197670.702116
2024-07-23,SELL_REGIME,VCB,920800,58.11000061035156,53427427.0291687
2024-07-23,SELL_REGIME,SHB,6317000,8.34000015258789,52604755.29245186
2024-07-23,SELL_REGIME,GVR,7239700,29.889999389648438,216070036.63836595
2024-07-23,SELL_REGIME,VPB,13569500,17.600000381469727,238464970.36858892
2024-08-19,BUY,FPT,1881200,109.12000274658203,205584463.99062043
2024-08-19,BUY,VCB,3481000,58.970001220703125,205582486.11064148
2024-08-19,BUY,VNM,3048800,67.33000183105469,205583623.14689332
2024-08-19,BUY,VJC,1955000,105.0,205582912.5
2024-08-20,SELL,FPT,1881200,109.94999694824219,206527677.35764468
2024-08-20,SELL,VCB,3481000,60.29999923706055,209589440.89819145
2024-08-20,BUY,MSN,881800,77.5999984741211,68530320.1724617
2024-08-20,BUY,PLX,1430000,47.849998474121094,68528136.06472017
2024-08-21,SELL,PLX,1430000,47.220001220703125,67423314.84298706
2024-08-21,SELL,VJC,1955000,104.9000015258789,204771883.72861862
2024-08-21,BUY,SAB,456300,49.9900016784668,22844653.422533225
2024-08-21,BUY,VIC,1090400,20.920000076293945,22845384.835315704
2024-08-22,SELL,MSN,881800,78.0,68677229.4
2024-08-22,SELL,VNM,3048800,65.73999786376953,200127463.32882997
2024-08-22,BUY,MBB,9188800,15.899999618530273,146321069.3694931
2024-08-22,BUY,VJC,1398100,104.5,146320602.175
2024-08-22,BUY,VIB,9911900,14.739999771118164,146320555.83694315
2024-08-23,SELL,MBB,9188800,16.0,146800268.8
2024-08-23,SELL,VIB,9911900,14.739999771118164,145882251.6257491
2024-08-23,BUY,GAS,1871000,72.62999725341797,136094560.94843677
2024-08-26,SELL,GAS,1871000,72.19999694824219,134883564.9987259
2024-08-26,SELL,VIC,1090400,21.079999923706055,22951153.46893387
2024-08-26,BUY,GVR,3935900,34.2400016784668,134967370.4401869
2024-08-26,BUY,TPB,10217300,13.1899995803833,134968331.98671928
2024-08-26,BUY,STB,4529900,29.75,134966671.78750002
2024-08-27,SELL,GVR,3935900,34.13999938964844,134170066.16232072
2024-08-27,SELL,TPB,10217300,13.15999984741211,134257976.9413023
2024-08-27,SELL,STB,4529900,29.600000381469727,133883914.16542768
2024-08-27,BUY,SSI,4198900,23.200000762939453,97560604.92831174
2024-08-27,BUY,VIC,4320000,22.549999237060547,97562120.69915773
2024-08-27,BUY,VIB,6645000,14.65999984741211,97561822.53453255
2024-08-28,SELL,SSI,4198900,23.649999618530273,99155027.4231494
2024-08-28,SELL,VIC,4320000,22.200000762939453,95760147.29095459
2024-08-28,SELL,VJC,1398100,103.80000305175781,144905100.09026262
