date,action,symbol,shares,price,amount
2024-02-15,BUY,GVR,3492400,24.3700008392334,85237455.61733513
2024-02-16,SELL,BSR,7525300,11.369999885559082,85434316.14858957
2024-02-16,SELL,MBB,3941000,15.300000190734863,60206854.80055857
2024-02-16,SELL,CTG,2423400,24.190000534057617,58534114.22329388
2024-02-16,SELL,TCB,4789600,17.809999465942383,85174819.28191453
2024-02-16,SELL,MWG,1898100,45.279998779296875,85817046.73445892
2024-02-16,BUY,HPG,2085800,19.31999969482422,40358101.84650955
2024-02-16,BUY,PLX,1225900,32.869998931884766,40355774.68813343
2024-02-16,BUY,HDB,2800400,14.390000343322754,40358203.59688321
2024-02-16,BUY,VIB,2743200,14.6899995803833,40358053.25918084
2024-02-16,BUY,GAS,613500,65.68000030517578,40355122.20750618
2024-02-19,SELL,SSI,4735700,24.450000762939453,115614186.8101328
2024-02-19,SELL,HPG,2085800,19.729999542236328,41091103.79562874
2024-02-19,SELL,PLX,1225900,33.75,41312063.8125
2024-02-19,SELL,VCB,667900,59.900001525878906,39947200.20260582
2024-02-19,SELL,VIB,2743200,14.630000114440918,40072816.78946342
2024-02-19,SELL,GAS,613500,67.98999786376953,41649295.89388847
2024-02-19,BUY,BSR,1818800,12.029999732971191,21912983.759599496
2024-02-19,BUY,VHM,480300,45.54999923706055,21910481.130510524
2024-02-19,BUY,MBB,1432900,15.270000457763672,21913204.23141346
2024-02-19,BUY,CTG,900800,24.290000915527344,21913253.473944094
2024-02-19,BUY,FPT,288600,75.80999755859375,21911583.443353273
2024-02-19,BUY,VRE,909700,24.049999237060547,21911101.732412912
2024-02-19,BUY,VIC,931000,23.5,21911317.75
2024-02-20,SELL,CTG,900800,24.15999984741211,21730682.870755006
2024-02-20,SELL,BSR,1818800,11.850000381469727,21520451.522776414
2024-02-20,SELL,FPT,288600,75.30000305175781,21698983.5094162
2024-02-20,BUY,VPB,7015200,17.799999237060547,125057860.47979888
2024-02-20,BUY,BID,3091600,40.38999938964844,125057026.69620667
2024-02-20,BUY,SAB,2529800,49.36000061035156,125058235.93838349
2024-02-21,SELL,VHM,480300,45.0,21581079.75
2024-02-21,SELL,SAB,2529800,48.939998626708984,123622695.91305962
2024-02-21,SELL,BID,3091600,40.68000030517578,125577639.51006623
2024-02-21,SELL,VIC,931000,23.6200008392334,21957235.450154305
2024-02-21,SELL,GVR,3492400,27.5,95896938.5
2024-02-21,SELL,HDB,2800400,14.510000228881836,40572853.933999255
2024-02-21,BUY,SHB,6157600,8.640000343322754,53281468.61321526
2024-02-21,BUY,SSI,2192000,24.270000457763672,53279640.764923096
2024-02-21,BUY,CTG,2180400,24.399999618530273,53281561.80699577
2024-02-21,BUY,PLX,1598100,33.290000915527344,53280551.5887989
2024-02-21,BUY,GAS,798500,66.62000274658203,53275866.30143548
2024-02-22,SELL,SHB,6157600,8.789999961853027,54044115.80945855
2024-02-22,SELL,ACB,3002800,19.40999984741211,58196921.02049637
2024-02-22,SELL,VRE,909700,26.399999618530273,23980055.533497527
2024-02-22,SELL,SSI,2192000,24.059999465942383,52660409.551101685
2024-02-22,BUY,HPG,1224000,19.290000915527344,23646377.562286377
2024-02-22,BUY,TCB,1266100,18.649999618530273,23648183.663796715
2024-02-22,BUY,FPT,312600,75.5199966430664,23642962.27704849
2024-02-22,BUY,HDB,1669900,14.140000343322754,23647805.153174642
2024-02-22,BUY,VCB,397200,59.439998626708984,23644981.805710603
